asp	-180.0	-180.0	5.021934e-004	7.596525e+000
asp	-170.0	-180.0	9.603885e-004	6.948173e+000
asp	-160.0	-180.0	1.417921e-003	6.558564e+000
asp	-150.0	-180.0	1.603591e-003	6.435510e+000
asp	-140.0	-180.0	1.446666e-003	6.538494e+000
asp	-130.0	-180.0	1.167413e-003	6.752965e+000
asp	-120.0	-180.0	1.036316e-003	6.872083e+000
asp	-110.0	-180.0	1.203687e-003	6.722366e+000
asp	-100.0	-180.0	1.692801e-003	6.381371e+000
asp	 -90.0	-180.0	2.287314e-003	6.080377e+000
asp	 -80.0	-180.0	2.472147e-003	6.002668e+000
asp	 -70.0	-180.0	1.931423e-003	6.249498e+000
asp	 -60.0	-180.0	1.031620e-003	6.876625e+000
asp	 -50.0	-180.0	3.659031e-004	7.913142e+000
asp	 -40.0	-180.0	8.783132e-005	9.340092e+000
asp	 -30.0	-180.0	1.702288e-005	1.098095e+001
asp	 -20.0	-180.0	5.209600e-006	1.216501e+001
asp	 -10.0	-180.0	4.442732e-006	1.232424e+001
asp	   0.0	-180.0	6.108516e-006	1.200583e+001
asp	  10.0	-180.0	9.326660e-006	1.158263e+001
asp	  20.0	-180.0	1.411892e-005	1.116799e+001
asp	  30.0	-180.0	2.022895e-005	1.080840e+001
asp	  40.0	-180.0	2.678580e-005	1.052764e+001
asp	  50.0	-180.0	3.238389e-005	1.033785e+001
asp	  60.0	-180.0	3.558096e-005	1.024370e+001
asp	  70.0	-180.0	3.554698e-005	1.024466e+001
asp	  80.0	-180.0	3.242808e-005	1.033649e+001
asp	  90.0	-180.0	2.719984e-005	1.051230e+001
asp	 100.0	-180.0	2.117783e-005	1.076256e+001
asp	 110.0	-180.0	1.555129e-005	1.107137e+001
asp	 120.0	-180.0	1.122839e-005	1.139706e+001
asp	 130.0	-180.0	9.196923e-006	1.159664e+001
asp	 140.0	-180.0	1.190222e-005	1.133879e+001
asp	 150.0	-180.0	2.713967e-005	1.051451e+001
asp	 160.0	-180.0	7.710587e-005	9.470331e+000
asp	 170.0	-180.0	2.116896e-004	8.460389e+000
asp	-180.0	-170.0	3.941996e-004	7.838653e+000
asp	-170.0	-170.0	7.665270e-004	7.173641e+000
asp	-160.0	-170.0	1.143254e-003	6.773877e+000
asp	-150.0	-170.0	1.298268e-003	6.646724e+000
asp	-140.0	-170.0	1.166069e-003	6.754117e+000
asp	-130.0	-170.0	9.243857e-004	6.986381e+000
asp	-120.0	-170.0	8.003016e-004	7.130522e+000
asp	-110.0	-170.0	9.193463e-004	6.991848e+000
asp	-100.0	-170.0	1.273373e-003	6.666086e+000
asp	 -90.0	-170.0	1.632722e-003	6.417507e+000
asp	 -80.0	-170.0	1.607618e-003	6.433002e+000
asp	 -70.0	-170.0	1.111979e-003	6.801614e+000
asp	 -60.0	-170.0	5.235160e-004	7.554943e+000
asp	 -50.0	-170.0	1.684342e-004	8.688965e+000
asp	 -40.0	-170.0	3.930241e-005	1.014422e+001
asp	 -30.0	-170.0	8.736148e-006	1.164804e+001
asp	 -20.0	-170.0	4.047029e-006	1.241753e+001
asp	 -10.0	-170.0	4.666882e-006	1.227502e+001
asp	   0.0	-170.0	7.186235e-006	1.184334e+001
asp	  10.0	-170.0	1.148671e-005	1.137432e+001
asp	  20.0	-170.0	1.769498e-005	1.094223e+001
asp	  30.0	-170.0	2.540345e-005	1.058063e+001
asp	  40.0	-170.0	3.336781e-005	1.030792e+001
asp	  50.0	-170.0	3.971768e-005	1.013371e+001
asp	  60.0	-170.0	4.270276e-005	1.006125e+001
asp	  70.0	-170.0	4.154439e-005	1.008875e+001
asp	  80.0	-170.0	3.678097e-005	1.021053e+001
asp	  90.0	-170.0	2.989115e-005	1.041795e+001
asp	 100.0	-170.0	2.254970e-005	1.069979e+001
asp	 110.0	-170.0	1.604653e-005	1.104002e+001
asp	 120.0	-170.0	1.115285e-005	1.140382e+001
asp	 130.0	-170.0	8.490420e-006	1.167657e+001
asp	 140.0	-170.0	9.669797e-006	1.154650e+001
asp	 150.0	-170.0	2.036724e-005	1.080158e+001
asp	 160.0	-170.0	5.777515e-005	9.758952e+000
asp	 170.0	-170.0	1.623539e-004	8.725732e+000
asp	-180.0	-160.0	2.426112e-004	8.324051e+000
asp	-170.0	-160.0	4.728124e-004	7.656812e+000
asp	-160.0	-160.0	7.093647e-004	7.251141e+000
asp	-150.0	-160.0	8.148365e-004	7.112523e+000
asp	-140.0	-160.0	7.446385e-004	7.202612e+000
asp	-130.0	-160.0	6.010584e-004	7.416818e+000
asp	-120.0	-160.0	5.219581e-004	7.557923e+000
asp	-110.0	-160.0	5.827034e-004	7.447832e+000
asp	-100.0	-160.0	7.646425e-004	7.176102e+000
asp	 -90.0	-160.0	9.193125e-004	6.991884e+000
asp	 -80.0	-160.0	8.466918e-004	7.074174e+000
asp	 -70.0	-160.0	5.485932e-004	7.508153e+000
asp	 -60.0	-160.0	2.444420e-004	8.316532e+000
asp	 -50.0	-160.0	7.703196e-005	9.471290e+000
asp	 -40.0	-160.0	1.929684e-005	1.085557e+001
asp	 -30.0	-160.0	5.719940e-006	1.207155e+001
asp	 -20.0	-160.0	3.927685e-006	1.244746e+001
asp	 -10.0	-160.0	5.276031e-006	1.215234e+001
asp	   0.0	-160.0	8.517851e-006	1.167335e+001
asp	  10.0	-160.0	1.387772e-005	1.118523e+001
asp	  20.0	-160.0	2.150081e-005	1.074742e+001
asp	  30.0	-160.0	3.077795e-005	1.038871e+001
asp	  40.0	-160.0	4.004771e-005	1.012544e+001
