phe	-180.0	-180.0	4.218230e-004	7.770925e+000
phe	-170.0	-180.0	9.876089e-004	6.920224e+000
phe	-160.0	-180.0	1.623263e-003	6.423317e+000
phe	-150.0	-180.0	1.920160e-003	6.255347e+000
phe	-140.0	-180.0	1.838767e-003	6.298660e+000
phe	-130.0	-180.0	1.652189e-003	6.405654e+000
phe	-120.0	-180.0	1.488457e-003	6.510015e+000
phe	-110.0	-180.0	1.318963e-003	6.630909e+000
phe	-100.0	-180.0	1.151817e-003	6.766414e+000
phe	 -90.0	-180.0	1.073190e-003	6.837119e+000
phe	 -80.0	-180.0	1.012652e-003	6.895182e+000
phe	 -70.0	-180.0	7.877343e-004	7.146350e+000
phe	 -60.0	-180.0	4.428686e-004	7.722237e+000
phe	 -50.0	-180.0	1.770578e-004	8.639035e+000
phe	 -40.0	-180.0	5.485791e-005	9.810764e+000
phe	 -30.0	-180.0	1.566744e-005	1.106393e+001
phe	 -20.0	-180.0	5.551158e-006	1.210150e+001
phe	 -10.0	-180.0	3.776571e-006	1.248669e+001
phe	   0.0	-180.0	4.613174e-006	1.228659e+001
phe	  10.0	-180.0	6.672386e-006	1.191753e+001
phe	  20.0	-180.0	9.559018e-006	1.155803e+001
phe	  30.0	-180.0	1.292385e-005	1.125644e+001
phe	  40.0	-180.0	1.621490e-005	1.102958e+001
phe	  50.0	-180.0	1.873852e-005	1.088493e+001
phe	  60.0	-180.0	1.989564e-005	1.082501e+001
phe	  70.0	-180.0	1.942746e-005	1.084882e+001
phe	  80.0	-180.0	1.750916e-005	1.095279e+001
phe	  90.0	-180.0	1.464604e-005	1.113134e+001
phe	 100.0	-180.0	1.145829e-005	1.137680e+001
phe	 110.0	-180.0	8.485698e-006	1.167713e+001
phe	 120.0	-180.0	6.106935e-006	1.200609e+001
phe	 130.0	-180.0	4.649938e-006	1.227866e+001
phe	 140.0	-180.0	4.958882e-006	1.221433e+001
phe	 150.0	-180.0	1.065001e-005	1.144995e+001
phe	 160.0	-180.0	3.667387e-005	1.021345e+001
phe	 170.0	-180.0	1.345703e-004	8.913424e+000
phe	-180.0	-170.0	1.936714e-004	8.549348e+000
phe	-170.0	-170.0	4.116170e-004	7.795417e+000
phe	-160.0	-170.0	6.369500e-004	7.358819e+000
phe	-150.0	-170.0	7.330050e-004	7.218358e+000
phe	-140.0	-170.0	7.015381e-004	7.262235e+000
phe	-130.0	-170.0	6.321780e-004	7.366340e+000
phe	-120.0	-170.0	5.590919e-004	7.489197e+000
phe	-110.0	-170.0	4.797959e-004	7.642150e+000
phe	-100.0	-170.0	4.033579e-004	7.815686e+000
phe	 -90.0	-170.0	3.510370e-004	7.954619e+000
phe	 -80.0	-170.0	3.033876e-004	8.100499e+000
phe	 -70.0	-170.0	2.197260e-004	8.423129e+000
phe	 -60.0	-170.0	1.201461e-004	9.026802e+000
phe	 -50.0	-170.0	5.136649e-005	9.876525e+000
phe	 -40.0	-170.0	1.961073e-005	1.083943e+001
phe	 -30.0	-170.0	7.822680e-006	1.175848e+001
phe	 -20.0	-170.0	4.194820e-006	1.238166e+001
phe	 -10.0	-170.0	3.944056e-006	1.244330e+001
phe	   0.0	-170.0	5.386142e-006	1.213168e+001
phe	  10.0	-170.0	7.998715e-006	1.173623e+001
phe	  20.0	-170.0	1.152507e-005	1.137099e+001
phe	  30.0	-170.0	1.553038e-005	1.107271e+001
phe	  40.0	-170.0	1.927668e-005	1.085661e+001
phe	  50.0	-170.0	2.188812e-005	1.072957e+001
phe	  60.0	-170.0	2.269988e-005	1.069315e+001
phe	  70.0	-170.0	2.155560e-005	1.074487e+001
phe	  80.0	-170.0	1.884653e-005	1.087918e+001
phe	  90.0	-170.0	1.529022e-005	1.108830e+001
phe	 100.0	-170.0	1.162523e-005	1.136233e+001
